% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3309,GDS3257,GDS3101,GDS3054,GDS2966,GDS2491,GDS2490,GDS2489,GDS1312}
@ATTRIBUTE TFAP2A NUMERIC
@ATTRIBUTE MKI67 NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SFTPB NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TIMP3 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE TNFRSF25 NUMERIC

@DATA
GDS2490,122.266,1014.566,122.266,277.366,1014.566,113.966,828.166,1014.566
GDS2490,283.466,988.566,283.466,237.766,988.566,283.466,624.166,988.566
GDS2490,180.766,808.566,189.366,316.666,808.566,189.366,754.366,808.566
GDS2490,83.766,696.466,289.866,218.666,913.666,289.866,913.666,696.466
GDS2490,119.366,714.166,119.366,323.766,1087.266,119.366,1087.266,714.166
Control,3364.766,46.566,223.734,701.634,3364.766,483.634,690.834,46.566
Control,4515.166,1158.966,99.934,571.634,4515.166,55.7339999999999,307.534,1158.966
Control,2249.466,1713.566,318.266,581.566,2249.466,377.034,377.034,1713.566
Control,3964.666,175.566,444.134,2292.166,2292.166,170.534,459.334,266.766
Control,3198.366,1228.966,484.966,1810.566,3198.366,523.066,523.066,1228.966
Control,3553.566,2000.266,1230.866,86.7339999999999,3553.566,180.766,180.766,2000.266
Control,2020.166,189.066,316.534,519.134,2020.166,499.334,750.134,189.066
Control,2857.566,1327.566,118.766,346.134,2857.566,390.334,390.334,1327.566
Control,4222.166,2339.766,123.066,510.534,4222.166,426.234,578.434,2339.766
Control,4221.866,2566.766,184.066,624.834,4221.866,273.234,273.234,2566.766
Control,4209.166,1015.966,351.834,579.034,4209.166,422.234,422.234,1015.966
Control,3239.766,972.966,242.334,401.466,3239.766,63.934,63.934,972.966
Control,5025.066,963.266,391.734,578.534,5025.066,240.234,240.234,963.266
Control,6205.666,1608.966,5.43399999999997,139.434,6205.666,294.634,294.634,1608.966
Control,2531.866,1722.366,62.1660000000001,379.834,2531.866,304.534,304.534,1722.366
Control,3099.366,1768.666,27.8339999999999,553.234,3099.366,522.634,551.934,1768.666
Control,4531.366,1495.466,33.366,614.834,4531.366,420.234,506.834,1495.466
Control,5268.066,2281.566,215.934,599.434,5268.066,431.834,431.834,2281.566
GDS2489,4281.866,2269.666,73.134,669.234,4281.866,209.734,311.034,2269.666
GDS2489,3599.666,2169.366,1.46600000000001,503.834,3599.666,307.734,311.134,2169.366
GDS2489,3838.366,3121.066,283.934,548.034,3838.366,376.234,689.734,3121.066
GDS2489,3947.466,2354.066,114.466,541.134,3947.466,294.434,294.434,2354.066
GDS2489,4020.166,1587.166,228.634,354.766,4020.166,211.534,211.534,1587.166
GDS2489,3561.166,2431.066,188.766,399.434,3561.166,185.234,399.534,2431.066
GDS2489,2944.566,3395.566,338.534,400.634,2167.066,287.034,217.934,3395.566
GDS2489,2083.966,2896.566,21.7660000000001,412.434,2083.966,20.866,164.434,2896.566
GDS2489,2101.666,4720.366,690.834,659.534,2101.666,190.934,190.934,4720.366
GDS2489,3608.166,4015.766,57.534,1427.166,3608.166,35.7339999999999,620.834,4015.766
GDS2489,2342.166,2591.166,469.834,668.734,2342.166,487.834,554.834,2591.166
GDS2489,2427.566,2268.466,346.934,632.834,2427.566,631.334,677.834,2268.466
GDS2489,326.066,2180.966,388.734,590.134,326.066,338.634,352.334,2180.966
GDS2489,681.566,2714.366,488.234,547.534,681.566,669.534,699.834,2714.366
GDS2489,4346.066,1808.966,218.766,419.366,4346.066,399.434,709.134,1808.966
GDS2489,4772.066,1528.766,185.034,494.934,4772.066,479.934,718.334,1528.766
GDS2489,4031.766,3461.366,216.534,518.734,4031.766,86.3339999999999,634.134,3461.366
GDS2489,1604.166,2425.666,663.234,651.834,1604.166,635.934,444.334,2425.666
GDS2489,2415.666,2361.966,395.634,611.934,2415.666,282.034,684.634,2361.966
