features,thresholdtype,accuracy,,,,,,
600,30,single,100,,600,30,multi,100
,,,,,,,,
600,30,single,100,,600,30,multi,100
,,,,,,,,
600,30,single,25,,600,30,multi,25
,,,,,,,,
600,30,single,37.5,,600,30,multi,37.5
,,,,,,,,
600,30,single,100,,600,30,multi,100
,,,,,,,,
600,30,single,0,,600,30,multi,0
,,,,,,,,
600,50,single,88.8889,,600,50,multi,88.8889
,,,,,,,,
600,50,single,66.6667,,600,50,multi,66.6667
,,,,,,,,
600,50,single,33.3333,,600,50,multi,33.3333
,,,,,,,,
600,50,single,100,,600,50,multi,100
,,,,,,,,
600,50,single,0,,600,50,multi,0
,,,,,,,,
600,40,single,100,,600,40,multi,100
,,,,,,,,
600,40,single,50,,600,40,multi,50
,,,,,,,,
600,40,single,100,,600,40,multi,100
,,,,,,,,
600,40,single,100,,600,40,multi,100
,,,,,,,,
600,40,single,0,,600,40,multi,0
,,,,,,,,
600,40,single,28.5714,,600,40,multi,28.5714
,,,,,,,,
600,40,single,100,,600,40,multi,100
,,,,,,,,
600,40,single,0,,600,40,multi,0
,,,,,,,,
600,60,single,85.7143,,600,60,multi,85.7143
,,,,,,,,
600,60,single,0,,600,60,multi,0
,,,,,,,,
600,60,single,25,,600,60,multi,25
,,,,,,,,
600,60,single,100,,600,60,multi,100
,,,,,,,,
600,60,single,0,,600,60,multi,0
,,,,,,,,
600,70,single,80,,600,70,multi,80
,,,,,,,,
600,70,single,0,,600,70,multi,0
,,,,,,,,
600,70,single,0,,600,70,multi,0
,,,,,,,,
600,70,single,100,,600,70,multi,100
,,,,,,,,
600,70,single,0,,600,70,multi,0
,,,,,,,,
600,90,single,0,,600,90,multi,0
,,,,,,,,
600,90,single,0,,600,90,multi,0
,,,,,,,,
600,90,single,0,,600,90,multi,0
,,,,,,,,
600,90,single,0,,600,90,multi,0
,,,,,,,,
600,80,single,100,,600,80,multi,100
,,,,,,,,
600,80,single,0,,600,80,multi,0
,,,,,,,,
600,80,single,0,,600,80,multi,0
,,,,,,,,
600,80,single,0,,600,80,multi,0
,,,,,,,,
600,80,single,0,,600,80,multi,0
,,,,,,,,
300,10,single,42.8571,,300,10,multi,42.8571
,,,,,,,,
