% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE MMP11 NUMERIC
@ATTRIBUTE MYO10 NUMERIC
@ATTRIBUTE RHEB NUMERIC
@ATTRIBUTE OBSL1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE MLLT4 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE N4BP2L1 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE WWC1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE GSN NUMERIC
@ATTRIBUTE HIST1H2BC NUMERIC
@ATTRIBUTE SIPA1L3 NUMERIC
@ATTRIBUTE DCAF7 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE MEG3 NUMERIC

@DATA
Infected,33976.0565,33975.0535,34261.0755,34221.6915,34038.6295,33539.0035,34093.7105,28444.4935,33542.6175,34245.2825,34209.6355,34157.5705,34182.6285,34022.7835,33539.0035,34182.6285,33539.0035,34210.3515,33582.1795,33539.0035,34275.1085
Infected,33932.9275,33975.8135,34245.2025,34228.2685,33975.9415,33604.3015,33987.0785,30765.4745,33504.6675,34245.2025,34171.5735,34123.4835,34181.2495,34088.2015,33604.3015,34181.2495,33604.3015,33967.5555,33633.7095,33467.7965,34265.5445
Infected,33770.0915,34031.2845,34273.9495,34218.3415,34087.1825,32996.9985,34091.4685,28308.6125,33393.6345,34224.1465,34134.9935,34132.6795,34210.2365,33911.0605,32996.9985,34210.2365,32996.9985,34187.5615,32692.4485,32996.9985,34272.1425
Infected,34060.3875,33714.0545,34281.2665,34234.0175,33971.5135,33810.8135,33714.0545,27088.2065,33904.1205,34254.0605,34249.5975,34078.1795,34215.9545,33956.6925,33810.8135,34215.9545,33810.8135,34234.9915,32936.1435,33809.2015,34284.4985
Infected,33956.8295,33850.9475,34275.8545,34234.0765,34111.9835,33511.0785,33850.9475,27128.7735,33769.0775,34249.6005,34217.5205,33987.8235,34236.6825,33930.4725,33511.0785,34239.5945,33511.0785,34203.0145,32967.5165,33511.0785,34279.2735
Infected,33884.5405,33939.9845,34281.1965,34236.7555,34048.5025,33282.8605,33939.9845,29049.5005,33633.5735,34253.5125,34184.6205,33483.8725,34209.6045,33887.0155,33282.8605,34209.6045,33282.8605,34148.0245,32739.9195,33282.8605,34280.1765
Infected,33838.6295,33940.8975,34267.6175,34230.3145,33981.9715,33438.0235,33940.8975,29112.8715,33504.3795,34263.4845,34240.0215,31876.3335,34234.0135,33925.9085,33438.0235,34234.0135,33438.0235,34234.6715,33036.7515,33438.0235,34277.3945
Control,26323.85,24542.85,22948.15,27565.15,21881.65,24547.25,21881.65,23347.75,12846.85,24542.85,22332.85,18008.25,22332.85,27942.05,12846.85,27362.65,12846.85,23347.75,12531.55,21989.45,26323.85
Control,26849.75,25519.55,22938.25,25288.15,18760.05,25288.15,18760.05,24164.25,11384.05,25519.55,23303.35,24327.45,23303.35,27869.55,11384.05,28506.25,11384.05,24164.25,9549.15,25722.05,25830.15
Control,26967.65,27338.85,23689.55,27720.75,22632.75,27720.75,22632.75,27441.95,13025.15,28074.35,27007.65,26100.35,26200.35,27818.55,13025.15,28726.35,13025.15,27441.95,14764.35,23889.55,25565.45
